minute;gpm;total_periodic_gold;cum_periodic_gold;melee_num;ranged_num;siege_num;flagbearer_num;melee_gold;ranged_gold;siege_gold;flagbearer_gold;melee;ranged;siege;flagbearer;total_lane_gold;cum_lane_gold;small_num;medium_num;large_num;ancient_num;small_gold;medium_gold;large_gold;ancient_gold;small;medium;large;ancient;total_neutrals_gold;cum_neutrals_gold;bounty_gold;bounty_num;total_bounty_gold;cum_bounty_gold;total_tormentor_gold;cum_tormentor_gold;total_gold;cum_total_gold
5.0;90.0;225.0;2475.0;2.0;1;1.0;1.0;37;48;66;83;74.0;48;66.0;83.0;813.0;5997.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;13800.0;45;0.0;0.0;1160.0;0;0;3798.0;23432.0
5.5;90.0;225.0;2700.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;6474.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13800.0;45;0.0;0.0;1160.0;0;0;702.0;24134.0
6.0;90.0;225.0;2925.0;2.0;1;0.0;1.0;37;48;66;83;74.0;48;0.0;83.0;615.0;7089.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;16560.0;45;2.0;450.0;1610.0;0;0;4050.0;28184.0
6.5;90.0;225.0;3150.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;7566.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16560.0;45;0.0;0.0;1610.0;0;0;702.0;28886.0
7.0;90.0;225.0;3375.0;2.0;1;0.0;1.0;37;48;66;83;74.0;48;0.0;83.0;615.0;8181.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;19320.0;45;0.0;0.0;1610.0;0;0;3600.0;32486.0
7.5;90.0;225.0;3600.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;8667.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19320.0;45;0.0;0.0;1610.0;0;0;711.0;33197.0
8.0;90.0;225.0;3825.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;9291.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;22080.0;45;0.0;0.0;1610.0;0;0;3609.0;36806.0
8.5;90.0;225.0;4050.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;9777.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22080.0;45;0.0;0.0;1610.0;0;0;711.0;37517.0
9.0;90.0;225.0;4275.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;10401.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;24840.0;45;2.0;450.0;2060.0;0;0;4059.0;41576.0
9.5;90.0;225.0;4500.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;10887.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24840.0;45;0.0;0.0;2060.0;0;0;711.0;42287.0
10.0;90.0;225.0;4725.0;2.0;1;1.0;1.0;37;51;66;83;74.0;51;66.0;83.0;822.0;11709.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;27600.0;54;0.0;0.0;2060.0;0;0;3807.0;46094.0
10.5;90.0;225.0;4950.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;12195.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27600.0;54;0.0;0.0;2060.0;0;0;711.0;46805.0
11.0;90.0;225.0;5175.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;12819.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;30360.0;54;0.0;0.0;2060.0;0;0;3609.0;50414.0
11.5;90.0;225.0;5400.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;13305.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30360.0;54;0.0;0.0;2060.0;0;0;711.0;51125.0
12.0;94.8;237.0;5637.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;13929.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;33120.0;54;2.0;540.0;2600.0;0;0;4161.0;55286.0
12.5;94.8;237.0;5874.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;14415.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33120.0;54;0.0;0.0;2600.0;0;0;723.0;56009.0
13.0;94.8;237.0;6111.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;15039.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;35880.0;54;0.0;0.0;2600.0;0;0;3621.0;59630.0
13.5;94.8;237.0;6348.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;15525.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35880.0;54;0.0;0.0;2600.0;0;0;723.0;60353.0
14.0;94.8;237.0;6585.0;2.0;1;0.0;1.0;37;51;66;83;74.0;51;0.0;83.0;624.0;16149.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;38640.0;54;0.0;0.0;2600.0;0;0;3621.0;63974.0
14.5;94.8;237.0;6822.0;3.0;1;0.0;0.0;37;51;66;83;111.0;51;0.0;0.0;486.0;16635.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38640.0;54;0.0;0.0;2600.0;0;0;723.0;64697.0
15.0;94.8;237.0;7059.0;3.0;1;1.0;1.0;37;54;66;83;111.0;54;66.0;83.0;942.0;17577.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;41400.0;63;2.0;630.0;3230.0;0;0;4569.0;69266.0
15.5;94.8;237.0;7296.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;18183.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41400.0;63;0.0;0.0;3230.0;0;0;843.0;70109.0
16.0;94.8;237.0;7533.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;18927.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;44160.0;63;0.0;0.0;3230.0;0;0;3741.0;73850.0
16.5;94.8;237.0;7770.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;19533.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44160.0;63;0.0;0.0;3230.0;0;0;843.0;74693.0
17.0;94.8;237.0;8007.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;20277.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;46920.0;63;0.0;0.0;3230.0;0;0;3741.0;78434.0
17.5;94.8;237.0;8244.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;20883.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46920.0;63;0.0;0.0;3230.0;0;0;843.0;79277.0
18.0;94.8;237.0;8481.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;21627.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;49680.0;63;2.0;630.0;3860.0;0;0;4371.0;83648.0
18.5;94.8;237.0;8718.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;22233.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49680.0;63;0.0;0.0;3860.0;0;0;843.0;84491.0
19.0;94.8;237.0;8955.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;22977.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;52440.0;63;0.0;0.0;3860.0;0;0;3741.0;88232.0
19.5;94.8;237.0;9192.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;23583.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52440.0;63;0.0;0.0;3860.0;0;0;843.0;89075.0
20.0;94.8;237.0;9429.0;3.0;1;1.0;1.0;37;54;66;83;111.0;54;66.0;83.0;942.0;24525.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;55200.0;72;0.0;0.0;3860.0;3300;3300;7239.0;96314.0
20.5;94.8;237.0;9666.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;25131.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55200.0;72;0.0;0.0;3860.0;0;3300;843.0;97157.0
21.0;94.8;237.0;9903.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;25875.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;57960.0;72;2.0;720.0;4580.0;0;3300;4461.0;101618.0
21.5;94.8;237.0;10140.0;4.0;1;0.0;0.0;37;54;66;83;148.0;54;0.0;0.0;606.0;26481.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57960.0;72;0.0;0.0;4580.0;0;3300;843.0;102461.0
22.0;94.8;237.0;10377.0;3.0;1;0.0;1.0;37;54;66;83;111.0;54;0.0;83.0;744.0;27225.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;60720.0;72;0.0;0.0;4580.0;0;3300;3741.0;106202.0
22.5;94.8;237.0;10614.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;27840.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60720.0;72;0.0;0.0;4580.0;0;3300;852.0;107054.0
23.0;94.8;237.0;10851.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;28593.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;63480.0;72;0.0;0.0;4580.0;0;3300;3750.0;110804.0
23.5;94.8;237.0;11088.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;29208.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63480.0;72;0.0;0.0;4580.0;0;3300;852.0;111656.0
24.0;94.8;237.0;11325.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;29961.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;66240.0;72;2.0;720.0;5300.0;0;3300;4470.0;116126.0
24.5;94.8;237.0;11562.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;30576.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66240.0;72;0.0;0.0;5300.0;0;3300;852.0;116978.0
25.0;94.8;237.0;11799.0;3.0;1;1.0;1.0;37;57;66;83;111.0;57;66.0;83.0;951.0;31527.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;69000.0;81;0.0;0.0;5300.0;0;3300;3948.0;120926.0
25.5;94.8;237.0;12036.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;32142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69000.0;81;0.0;0.0;5300.0;0;3300;852.0;121778.0
26.0;94.8;237.0;12273.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;32895.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;71760.0;81;0.0;0.0;5300.0;0;3300;3750.0;125528.0
26.5;94.8;237.0;12510.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;33510.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71760.0;81;0.0;0.0;5300.0;0;3300;852.0;126380.0
27.0;94.8;237.0;12747.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;34263.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;74520.0;81;2.0;810.0;6110.0;0;3300;4560.0;130940.0
27.5;94.8;237.0;12984.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;34878.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74520.0;81;0.0;0.0;6110.0;0;3300;852.0;131792.0
28.0;94.8;237.0;13221.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;35631.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;77280.0;81;0.0;0.0;6110.0;0;3300;3750.0;135542.0
28.5;94.8;237.0;13458.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;36246.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77280.0;81;0.0;0.0;6110.0;0;3300;852.0;136394.0
29.0;94.8;237.0;13695.0;3.0;1;0.0;1.0;37;57;66;83;111.0;57;0.0;83.0;753.0;36999.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;80040.0;81;0.0;0.0;6110.0;0;3300;3750.0;140144.0
29.5;94.8;237.0;13932.0;4.0;1;0.0;0.0;37;57;66;83;148.0;57;0.0;0.0;615.0;37614.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80040.0;81;0.0;0.0;6110.0;0;3300;852.0;140996.0
30.0;99.8;249.5;14181.5;4.0;1;1.0;1.0;37;60;66;83;148.0;60;66.0;83.0;1071.0;38685.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;82800.0;90;2.0;900.0;7010.0;3300;6600;8280.5;149276.5
30.5;99.8;249.5;14431.0;5.0;1;0.0;0.0;37;60;66;83;185.0;60;0.0;0.0;735.0;39420.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82800.0;90;0.0;0.0;7010.0;0;6600;984.5;150261.0
31.0;99.8;249.5;14680.5;4.0;1;0.0;1.0;37;60;66;83;148.0;60;0.0;83.0;873.0;40293.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;85560.0;90;0.0;0.0;7010.0;0;6600;3882.5;154143.5
31.5;99.8;249.5;14930.0;5.0;1;0.0;0.0;37;60;66;83;185.0;60;0.0;0.0;735.0;41028.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85560.0;90;0.0;0.0;7010.0;0;6600;984.5;155128.0
32.0;99.8;249.5;15179.5;4.0;1;0.0;1.0;37;60;66;83;148.0;60;0.0;83.0;873.0;41901.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;88320.0;90;0.0;0.0;7010.0;0;6600;3882.5;159010.5
32.5;99.8;249.5;15429.0;5.0;1;0.0;0.0;37;60;66;83;185.0;60;0.0;0.0;735.0;42636.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88320.0;90;0.0;0.0;7010.0;0;6600;984.5;159995.0
33.0;99.8;249.5;15678.5;4.0;1;0.0;1.0;37;60;66;83;148.0;60;0.0;83.0;873.0;43509.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;91080.0;90;2.0;900.0;7910.0;0;6600;4782.5;164777.5
33.5;99.8;249.5;15928.0;5.0;1;0.0;0.0;37;60;66;83;185.0;60;0.0;0.0;735.0;44244.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91080.0;90;0.0;0.0;7910.0;0;6600;984.5;165762.0
34.0;99.8;249.5;16177.5;4.0;1;0.0;1.0;37;60;66;83;148.0;60;0.0;83.0;873.0;45117.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;93840.0;90;0.0;0.0;7910.0;0;6600;3882.5;169644.5
34.5;99.8;249.5;16427.0;5.0;1;0.0;0.0;37;60;66;83;185.0;60;0.0;0.0;735.0;45852.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93840.0;90;0.0;0.0;7910.0;0;6600;984.5;170629.0
35.0;99.8;249.5;16676.5;4.0;2;2.0;1.0;37;60;66;83;148.0;120;132.0;83.0;1449.0;47301.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;96600.0;99;0.0;0.0;7910.0;0;6600;4458.5;175087.5
35.5;99.8;249.5;16926.0;5.0;2;0.0;0.0;37;60;66;83;185.0;120;0.0;0.0;915.0;48216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96600.0;99;0.0;0.0;7910.0;0;6600;1164.5;176252.0
36.0;99.8;249.5;17175.5;4.0;2;0.0;1.0;37;60;66;83;148.0;120;0.0;83.0;1053.0;49269.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;99360.0;99;2.0;990.0;8900.0;0;6600;5052.5;181304.5
36.5;99.8;249.5;17425.0;5.0;2;0.0;0.0;37;60;66;83;185.0;120;0.0;0.0;915.0;50184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99360.0;99;0.0;0.0;8900.0;0;6600;1164.5;182469.0
37.0;99.8;249.5;17674.5;4.0;2;0.0;1.0;37;60;66;83;148.0;120;0.0;83.0;1053.0;51237.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;102120.0;99;0.0;0.0;8900.0;0;6600;4062.5;186531.5
37.5;99.8;249.5;17924.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;52170.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102120.0;99;0.0;0.0;8900.0;0;6600;1182.5;187714.0
38.0;99.8;249.5;18173.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;53241.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;104880.0;99;0.0;0.0;8900.0;0;6600;4080.5;191794.5
38.5;99.8;249.5;18423.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;54174.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104880.0;99;0.0;0.0;8900.0;0;6600;1182.5;192977.0
39.0;99.8;249.5;18672.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;55245.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;107640.0;99;2.0;990.0;9890.0;0;6600;5070.5;198047.5
39.5;99.8;249.5;18922.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;56178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;107640.0;99;0.0;0.0;9890.0;0;6600;1182.5;199230.0
40.0;99.8;249.5;19171.5;4.0;2;2.0;1.0;37;63;66;83;148.0;126;132.0;83.0;1467.0;57645.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;110400.0;108;0.0;0.0;9890.0;3300;9900;7776.5;207006.5
40.5;99.8;249.5;19421.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;58578.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110400.0;108;0.0;0.0;9890.0;0;9900;1182.5;208189.0
41.0;99.8;249.5;19670.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;59649.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;113160.0;108;0.0;0.0;9890.0;0;9900;4080.5;212269.5
41.5;99.8;249.5;19920.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;60582.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113160.0;108;0.0;0.0;9890.0;0;9900;1182.5;213452.0
42.0;99.8;249.5;20169.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;61653.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;115920.0;108;2.0;1080.0;10970.0;0;9900;5160.5;218612.5
42.5;99.8;249.5;20419.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;62586.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115920.0;108;0.0;0.0;10970.0;0;9900;1182.5;219795.0
43.0;99.8;249.5;20668.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;63657.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;118680.0;108;0.0;0.0;10970.0;0;9900;4080.5;223875.5
43.5;99.8;249.5;20918.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;64590.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;118680.0;108;0.0;0.0;10970.0;0;9900;1182.5;225058.0
44.0;99.8;249.5;21167.5;4.0;2;0.0;1.0;37;63;66;83;148.0;126;0.0;83.0;1071.0;65661.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;121440.0;108;0.0;0.0;10970.0;0;9900;4080.5;229138.5
44.5;99.8;249.5;21417.0;5.0;2;0.0;0.0;37;63;66;83;185.0;126;0.0;0.0;933.0;66594.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;121440.0;108;0.0;0.0;10970.0;0;9900;1182.5;230321.0
